Humedad;Temp;pm10;pm2,5;uv;etiq
0,88;0,80;0,80;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,88;0,80;0,79;0,48;1,00;2
0,90;0,80;0,79;0,48;1,00;2
0,90;0,80;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,80;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,53;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,50;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,48;1,00;2
0,90;0,79;0,79;0,53;1,00;2
0,90;0,79;0,79;0,53;1,00;2
0,90;0,79;0,79;0,53;1,00;2
0,90;0,79;0,79;0,53;1,00;2
0,91;0,79;0,79;0,53;1,00;2
0,91;0,79;0,79;0,53;1,00;2
0,91;0,79;0,79;0,53;1,00;2
0,91;0,79;0,79;0,53;1,00;2
0,91;0,79;0,79;0,55;1,00;2
0,91;0,79;0,79;0,55;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,55;1,00;2
0,91;0,79;0,79;0,55;1,00;2
0,91;0,79;0,79;0,55;1,00;2
0,91;0,79;0,79;0,55;1,00;2
0,91;0,79;0,79;0,55;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,79;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,59;1,00;2
0,91;0,78;0,79;0,59;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,55;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
0,91;0,78;0,79;0,57;1,00;2
